BuddyPhrase,BusinessRuleType,BuddyPhrase,Subject,BuddyPhrase,Action,BuddyPhrase,Resource,AffiliationPhrase,Affiliation,CertificationPhrase,Certification,BuddyPhrase,Environment
It is,permitted,that a(n),Principal Investigator,may,copy,the following:,Acceptance of Investigator Brochure,if (s)he is a member of a(n)/the,Institutional Review Board,and is certified by the,American Board of Allergy and Immunology,", this rule to apply over the period",StartDate
,prohibited,,Investigator,,forward,,Additional Monitoring Activity,,Merit Committee,,American Board of Anesthesiology,,EndDate
,,,Quality Manager,,read,,Adjudication Committee Document,,Sponsor Team,,American Board of Colon and Rectal Surgery,,
,,,Pharma Scientist,,release,,Analysis QC Documentation,,Company Executive Team,,American Board of Dermatology,,
,,,Researcher,,reproduce,,Annotated Case Report Form,,Ethics Committee,,American Board of Emergency Medicine,,
,,,Staff Researcher,,scan-and-forward,,Approval,,Academic Subsite,,American Board of Family Medicine,,
,,,Reviewer,,modify,,Approval for Database Activation,,Industrial Subsite,,American Board of Internal Medicine,,
,,,Physician,,electronically sign,,Audit Certificate,,FDA,,American Board of Pathology,,
,,,Sponsor,,fax,,Bioanalytical Reports,,,,American Board of Pediatrics,,
,,,Analyst,,,,Bioanalytical Validation Methods,,,,American Board of Physical Medicine and Rehabilitation,,
,,,Statistician,,,,Case Report Form,,,,American Board of Preventive Medicine,,
,,,Marketing Specialist,,,,Certificate of Analysis,,,,American Board of Psychiatry and Neurology,,
,,,Company Manager,,,,Certificate of Destruction,,,,American Board of Radiology,,
,,,Remote Subsite Coordinator,,,,Clinical Study Report,,,,American Board of Urology,,
,,,Technical Writer,,,,Clinical Study Report Synopsis,,,,Indiana Board of Pharmacy,,
,,,Governmment Liason,,,,Clinical Trial Agreement,,,,University of Florida College of Pharmacy,,
,,,Lobbyist,,,,Communication Plan,,,,,,
,,,Human Trials Coordinator,,,,Completed Case Report Forms,,,,,,
,,,,,,,Contractual Agreement,,,,,,
,,,,,,,CRF Completion Requirements,,,,,,
,,,,,,,Data Clarification Forms,,,,,,
,,,,,,,Data Definitions for Analysis Datasets,,,,,,
,,,,,,,Data Entry Guidelines,,,,,,
,,,,,,,Data Management Plan,,,,,,
,,,,,,,Data Privacy Agreement,,,,,,
,,,,,,,Data Validation Certification,,,,,,
,,,,,,,Data Validation Plan,,,,,,
,,,,,,,Data Validation Testing,,,,,,
,,,,,,,Database Account Management,,,,,,
,,,,,,,Database Lock and Unlock Approval,,,,,,
,,,,,,,Database Quality Plan,,,,,,
,,,,,,,Database Specification,,,,,,
,,,,,,,Debarment Statement,,,,,,
,,,,,,,Dictionary Coding,,,,,,
,,,,,,,Dose Escalation,,,,,,
,,,,,,,Edit Check Programming,,,,,,
,,,,,,,Electronic Data Capture Final Data,,,,,,
,,,,,,,End of Trial,,,,,,
,,,,,,,Evidence of Contractor Compliance,,,,,,
,,,,,,,Expedited Safety Report,,,,,,
,,,,,,,External Data Transfer Specifications,,,,,,
,,,,,,,Feasibility Documentation,,,,,,
,,,,,,,Filenote Master List,,,,,,
,,,,,,,Final Analysis Datasets,,,,,,
,,,,,,,Final Analysis Output,,,,,,
,,,,,,,Final Analysis Programs,,,,,,
,,,,,,,Final Analysis Raw Datasets,,,,,,
,,,,,,,Final Trial Close Out Monitoring Report,,,,,,
,,,,,,,Financial Disclosure Form,,,,,,
,,,,,,,Financial Disclosure Summary,,,,,,
,,,,,,,Financial Documentation,,,,,,
,,,,,,,Form FDA 1572,,,,,,
,,,,,,,General Central Trial Communications,,,,,,
,,,,,,,General Central Trial Filenote,,,,,,
,,,,,,,General Central Trial Meeting Material,,,,,,
,,,,,,,General Central Trial Tracking Document,,,,,,
,,,,,,,General Centralized Meeting Material,,,,,,
,,,,,,,General Centralized Testing Communications,,,,,,
,,,,,,,General Centralized Testing Filenote,,,,,,
,,,,,,,General Centralized Tracking Document,,,,,,
,,,,,,,General Data Management Communications,,,,,,
,,,,,,,General Data Management Filenote,,,,,,
,,,,,,,General Data Management Meeting Material,,,,,,
,,,,,,,General Data Management Tracking Document,,,,,,
,,,,,,,General IP and Trial Supplies Communications,,,,,,
,,,,,,,General IP and Trial Supplies Filenote,,,,,,
,,,,,,,General IP and Trial Supplies Meeting Material,,,,,,
,,,,,,,General IP and Trial Supplies Tracking Document,,,,,,
,,,,,,,General IRB-IEC Communications,,,,,,
,,,,,,,General IRB-IEC Filenote,,,,,,
,,,,,,,General IRB-IEC Meeting Material,,,,,,
,,,,,,,General IRB-IEC Tracking Document,,,,,,
,,,,,,,General Regulatory Communications,,,,,,
,,,,,,,General Regulatory Filenote,,,,,,
,,,,,,,General Regulatory Meeting Material,,,,,,
,,,,,,,General Regulatory Tracking Document,,,,,,
,,,,,,,General Safety Communications,,,,,,
,,,,,,,General Safety Filenote,,,,,,
,,,,,,,General Safety Meeting Material,,,,,,
,,,,,,,General Safety Tracking Document,,,,,,
,,,,,,,General Site Management Communications,,,,,,
,,,,,,,General Site Management Filenote,,,,,,
,,,,,,,General Site Management Meeting Material,,,,,,
,,,,,,,General Site Management Tracking Document,,,,,,
,,,,,,,General Statistics Communications,,,,,,
,,,,,,,General Statistics Filenote,,,,,,
,,,,,,,General Statistics Meeting Material,,,,,,
,,,,,,,General Statistics Tracking Document,,,,,,
,,,,,,,General Trial Filenote,,,,,,
,,,,,,,General Trial Management Communications,,,,,,
,,,,,,,General Trial Management Meeting Material,,,,,,
,,,,,,,General Trial Management Tracking Document,,,,,,
,,,,,,,General Vendor Communications,,,,,,
,,,,,,,General Vendor Filenote,,,,,,
,,,,,,,General Vendor Meeting Material,,,,,,
,,,,,,,General Vendor Tracking Document,,,,,,
,,,,,,,Import-Export License,,,,,,
,,,,,,,Import-Export License Application,,,,,,
,,,,,,,Indemnity,,,,,,
,,,,,,,Independent Data Monitoring Committee Charter,,,,,,
,,,,,,,Independent Data Monitoring Committee Correspondence,,,,,,
,,,,,,,Independent Data Monitoring Committee Member List,,,,,,
,,,,,,,Informed Consent Form,,,,,,
,,,,,,,Insurance,,,,,,
,,,,,,,Interfacility Standardization Methods,,,,,,
,,,,,,,Interim Analysis Datasets,,,,,,
,,,,,,,Interim Analysis Output,,,,,,
,,,,,,,Interim Analysis Programs,,,,,,
,,,,,,,Interim Analysis Raw Datasets,,,,,,
,,,,,,,Interim Statistical Reports,,,,,,
,,,,,,,Investigator Brochure,,,,,,
,,,,,,,Investigator Confidentiality Agreement,,,,,,
,,,,,,,Investigator Newsletter,,,,,,
,,,,,,,Investigator Regulatory Agreement,,,,,,
,,,,,,,Investigators Meeting Material,,,,,,
,,,,,,,IP Accountability Record,,,,,,
,,,,,,,IP Instructions for Handling,,,,,,
,,,,,,,IP Quality Complaint Form,,,,,,
,,,,,,,IP Randomization Plan,,,,,,
,,,,,,,IP Recall Plan,,,,,,
,,,,,,,IP Regulatory Release,,,,,,
,,,,,,,IP Re-labeling Plan,,,,,,
,,,,,,,IP Return Record,,,,,,
,,,,,,,IP Sample Label,,,,,,
,,,,,,,IP Shipment Record,,,,,,
,,,,,,,IP Site Release Documentation,,,,,,
,,,,,,,IP Supply Plan,,,,,,
,,,,,,,IP Transfer Record,,,,,,
,,,,,,,IRB-IEC Approval,,,,,,
,,,,,,,IRB-IEC Approved Advertisement for Subject Recruitment,,,,,,
,,,,,,,IRB-IEC Approved Informed Consent,,,,,,
,,,,,,,IRB-IEC Approved Other Subject Information,,,,,,
,,,,,,,IRB-IEC Approved Subject Diary,,,,,,
,,,,,,,IRB-IEC Approved Subject Information,,,,,,
,,,,,,,IRB-IEC Approved Subject Participation,,,,,,
,,,,,,,IRB-IEC Approved Subject Questionnaire,,,,,,
,,,,,,,IRB-IEC Composition,,,,,,
,,,,,,,IRB-IEC Documentation of Non-Voting Status,,,,,,
,,,,,,,IRB-IEC GCP Compliance Statement,,,,,,
,,,,,,,IRB-IEC Notification of Trial Termination,,,,,,
,,,,,,,IRB-IEC Report,,,,,,
,,,,,,,IRB-IEC Submission,,,,,,
,,,,,,,IRT User Acceptance Testing Certification,,,,,,
,,,,,,,IRT User Manual,,,,,,
,,,,,,,IRT User Notifications,,,,,,
,,,,,,,IRT User Requirement Specification,,,,,,
,,,,,,,IRT Validation Certification,,,,,,
,,,,,,,Kick-off Meeting Material,,,,,,
,,,,,,,Lab Manual,,,,,,
,,,,,,,Laboratory Certification,,,,,,
,,,,,,,Laboratory Director Curriculum Vitae,,,,,,
,,,,,,,Laboratory Shipment Records,,,,,,
,,,,,,,License,,,,,,
,,,,,,,List of SOPs Current During Trial,,,,,,
,,,,,,,Local Laboratory Certification or Accreditation,,,,,,
,,,,,,,Local Laboratory Normal Ranges,,,,,,
,,,,,,,Master Randomization List,,,,,,
,,,,,,,Medical Monitoring Plan,,,,,,
,,,,,,,Monitoring Plan,,,,,,
,,,,,,,Monitoring Visit Report,,,,,,
,,,,,,,Non-IP Documentation of Return,,,,,,
,,,,,,,Non-IP Documentation of Shipment,,,,,,
,,,,,,,Non-IP Supply Plan,,,,,,
,,,,,,,Normal Ranges,,,,,,
,,,,,,,Notification of Regulatory Identification Number,,,,,,
,,,,,,,Notification of Safety Information,,,,,,
,,,,,,,Notification of Trial Termination,,,,,,
,,,,,,,Notification to Investigators of Safety Information,,,,,,
,,,,,,,Notification to IRB-IEC of Safety Information,,,,,,
,,,,,,,Operational Procedure Manual,,,,,,
,,,,,,,Other Approvals,,,,,,
,,,,,,,Other Financial Agreement,,,,,,
,,,,,,,Other non-IDMC Trial Committee Document,,,,,,
,,,,,,,Other Subject Forms,,,,,,
,,,,,,,Other Submissions,,,,,,
,,,,,,,Pharmacokinetics Report,,,,,,
,,,,,,,Pharmacovigilance Database Line Listing,,,,,,
,,,,,,,Pre Trial Monitoring Report,,,,,,
,,,,,,,Pregnancy Report,,,,,,
,,,,,,,Principal Investigator Curriculum Vitae,,,,,,
,,,,,,,Protocol,,,,,,
,,,,,,,Protocol Amendment,,,,,,
,,,,,,,Protocol Amendment Signature Page,,,,,,
,,,,,,,Protocol Deviations,,,,,,
,,,,,,,Protocol Signature Page,,,,,,
,,,,,,,Protocol Synopsis,,,,,,
,,,,,,,Publication Policy,,,,,,
,,,,,,,Qualified Person Certification,,,,,,
,,,,,,,Quality Plan,,,,,,
,,,,,,,Randomization Plan,,,,,,
,,,,,,,Randomization Procedure,,,,,,
,,,,,,,Randomization Programming,,,,,,
,,,,,,,Randomization Validation,,,,,,
,,,,,,,Record of Retained Body Fluids or Tissue Samples,,,,,,
,,,,,,,Recruitment Plan,,,,,,
,,,,,,,Regulatory Report,,,,,,
,,,,,,,Regulatory Submission,,,,,,
,,,,,,,Reserved T104.11.30,,,,,,
,,,,,,,Reserved T104.11.31,,,,,,
,,,,,,,Roles and Responsibilities Matrix,,,,,,
,,,,,,,SAE Report,,,,,,
,,,,,,,Safety Management Plan,,,,,,
,,,,,,,Sample Export Documentation,,,,,,
,,,,,,,Sample Size Calculation,,,,,,
,,,,,,,Sample Storage Condition Log,,,,,,
,,,,,,,Serious Adverse Event Reconciliation,,,,,,
,,,,,,,Site Personnel Supporting Information,,,,,,
,,,,,,,Site Signature Sheet,,,,,,
,,,,,,,Site Training Documentation,,,,,,
,,,,,,,Site Training Material,,,,,,
,,,,,,,Sites Evaluated but not Selected,,,,,,
,,,,,,,Special Events of Interest,,,,,,
,,,,,,,Specimen Label,,,,,,
,,,,,,,Statistical Analysis Plan,,,,,,
,,,,,,,Statistical Report,,,,,,
,,,,,,,Study Registry Documents,,,,,,
,,,,,,,Study Site Personnel Details,,,,,,
,,,,,,,Study Subject CT,,,,,,
,,,,,,,Study Subject CT Report,,,,,,
,,,,,,,Study Subject Medical Imaging,,,,,,
,,,,,,,Study Subject Medical Imaging Report,,,,,,
,,,,,,,Study Subject MRI,,,,,,
,,,,,,,Study Subject MRI Report,,,,,,
,,,,,,,Study Subject Nuclear Medicine,,,,,,
,,,,,,,Study Subject Nuclear Medicine Report,,,,,,
,,,,,,,Study Subject Photos,,,,,,
,,,,,,,Study Subject Radiography,,,,,,
,,,,,,,Study Subject Radiography Report,,,,,,
,,,,,,,Study Subject Ultrasound,,,,,,
,,,,,,,Study Subject Ultrasound Report,,,,,,
,,,,,,,Sub-Investigator Curriculum Vitae,,,,,,
,,,,,,,Subject Diary Form,,,,,,
,,,,,,,Subject Enrollment Log,,,,,,
,,,,,,,Subject Evaluability Criteria and Subject Classification,,,,,,
,,,,,,,Subject Information Form,,,,,,
,,,,,,,Subject Participation Form,,,,,,
,,,,,,,Subject Questionnaire Form,,,,,,
,,,,,,,Subject Screen Log,,,,,,
,,,,,,,Subject Unblinding Event,,,,,,
,,,,,,,Subject Unblinding Plan,,,,,,
,,,,,,,Supply Import Documentation,,,,,,
,,,,,,,Template Advertisement for Subject Recruitment,,,,,,
,,,,,,,Trial Initiation Monitoring Report,,,,,,
,,,,,,,Trial Management Plan,,,,,,
,,,,,,,Trial Master File Plan,,,,,,
,,,,,,,Trial Status Report,,,,,,
,,,,,,,Trial Supply Storage Condition Excursions,,,,,,
,,,,,,,Trial Supply Storage Conditions,,,,,,
,,,,,,,Trial Team Curriculum Vitae,,,,,,
,,,,,,,Trial Team Details,,,,,,
,,,,,,,Trial Team Training Material,,,,,,
,,,,,,,TSE Statement,,,,,,
,,,,,,,Vendor Confidentiality Agreement,,,,,,
,,,,,,,Vendor Selection,,,,,,
,,,,,,,Visit Log,,,,,,
